Stock_code,Sector,Name,volatility_mean,volatility_max,volatility_5d,downside_deviation,var_95,max_drawdown,mean_return,std_return,return_skew,return_kurtosis,return_consistency,sharpe_ratio,rsi_mean,bb_width_mean,macd_volatility,avg_volume,volume_volatility,amihud_illiquidity,trading_frequency,momentum_20d,momentum_60d,trend_strength,current_price
SCAN,Commercial and Services,WPP ScanGroup Plc,0.03031286722353319,0.05913251178298983,0.028262256395442754,0.01753049296054208,-0.04684037464853503,-0.703125,-0.0003844184252634987,0.03231300862894663,0.2995574420295075,1.61167621024451,84.05684561324863,-0.014991436709808676,46.930335918424625,3.934177593487944,0.07848226632011442,65994.47852760737,201543.76711176388,1.958209204627645e-07,0.9898785425101214,0.11210762331838575,0.1272727272727272,0.07779226422956131,2.48
SCBK,Banking,Standard Chartered Bank Kenya Ltd,0.010536091713144497,0.030899460430443962,0.0087551073305057,0.005956745118501415,-0.012604097430324767,-0.20906432748538012,0.0007481721265083275,0.012386754409606727,-0.8995314928400705,17.65468985854758,16.556020085662528,0.05232784148629314,54.04442990259075,1.962413641952618,2.481279884535079,41815.314401622716,114024.05970507694,1.2456678397432038e-09,0.9979757085020243,0.161993769470405,0.3321428571428571,0.1697271681939428,279.75
SCOM,Telecommunication and Technology,Safaricom Plc,0.01759047369919988,0.044216613553456595,0.01503821428507166,0.01012587777846469,-0.027596186007266585,-0.7408231368186875,-0.000518221922829295,0.01948119469793696,0.6814676255492719,5.057316767760915,37.59237129980901,-0.031734291928273525,45.82628425264157,3.580203384235509,0.5628305799405017,7364146.457489879,11345657.952877196,7.295104761645154e-11,1.0,0.1840277777777779,0.13666666666666671,0.07075570441655378,17.05
SGL,Commercial and Services,Standard Group Plc,0.035308963328927315,0.06659790130685536,0.031078915195073067,0.0232540224527256,-0.06642421722985575,-0.7911111111111111,-0.001524642156874295,0.045969803259007125,-0.025796225402131997,0.2245335902558505,30.151206325115837,-0.035341507645495936,45.24555771777364,4.7712835262042335,0.26153401936336573,1054.3548387096773,2194.919321304632,0.0,0.6275303643724697,-0.01953125000000011,-0.10357142857142854,-0.07827896443947108,5.02
SLAM,Insurance,Sanlam Kenya Plc,0.03654707971511124,0.06601151955504295,0.032765310655883825,0.023545587489768708,-0.06774011663321876,-0.74,-0.00013565072729770477,0.0459519108164518,0.01715816880152721,0.1073621248404879,338.7514232818049,-0.005128202997393447,45.099064968404356,4.90674491199805,0.2456215043598087,4420.679468242245,17212.569822448655,1.0305694377075816e-07,0.6852226720647774,0.09513274336283195,-0.21924290220820186,-0.0796405330013081,4.95
SMER,Commercial and Services,Sameer Africa Plc,0.04175053495912469,0.06513833696564855,0.039923480506532105,0.024764752298014784,-0.06941464685460656,-0.5770114942528736,0.0006157925697971655,0.04528517483723089,0.1560425736165727,0.10576760391749396,73.53964582291515,0.011389876941230719,48.93266235976415,5.056364328314034,0.07114152307774312,9976.796230859834,30209.765322753417,1.4585953402740816e-06,0.8593117408906883,0.008298755186721962,-0.06177606177606165,0.0062806266820505845,2.43
TCL,Investment,Trans-Century Plc,0.04039510062539939,0.06237325735889271,0.0389198912607474,0.024092201046597553,-0.06557942347196603,-0.7908496732026143,-0.0005472215335571899,0.04179328046955457,0.05050766709489974,0.00241370502133309,76.37358961464882,-0.01548625819119535,47.36827816964316,5.409481810810239,0.026394590321065257,83032.58785942492,581649.6329074916,1.8456995201181197e-06,0.9504048582995951,-0.04878048780487798,-0.0714285714285714,-0.02864259027929203,0.39
TOTL,Energy and Petroleum,Total Kenya Ltd,0.028059632848123007,0.06016845058846926,0.026386366407829497,0.016532192273243547,-0.04453480379662095,-0.3992395437262357,0.0002728332170735014,0.030680094362094016,0.15209956608514047,1.8025157473160363,112.44995549362758,0.005633399117693101,48.591996668424684,3.0652310328769983,0.25374238670932864,9251.23789020452,60718.1103425802,1.4724504520422348e-07,0.9402834008097166,-0.029126213592233108,-0.0825688073394496,-0.029597282872248578,20.0
TPSE,Commercial and Services,TPS Eastern Africa (Serena) Ltd,0.03624680455908776,0.06363593168391514,0.033298682774872516,0.0221086104811449,-0.062341738820563826,-0.41396508728179554,0.0007177754127163282,0.044147815632101864,0.06783938458501053,0.16562857473508963,61.50643878199493,0.01399334038325062,48.47255080792641,4.642805138676242,0.36012259360593823,15976.462196861627,70482.25553414391,3.3750056531344945e-08,0.7095141700404858,0.053003533568904526,0.05673758865248235,0.050035236081395165,14.9
UCHM,Commercial and Services,Uchumi Supermarket Plc,0.041046578342059804,0.06872334292669756,0.040004002316357465,0.025178641474375738,-0.06181744787090978,-0.4666666666666666,0.0003448577866469354,0.04130734058986336,-0.09827555518085973,-0.1761859170737332,119.78076242215596,0.005927706372708289,49.44112838030142,4.875315466519917,0.005241584184511192,68701.63766632549,187855.03162585612,4.2303868688791495e-07,0.9888663967611336,-0.22727272727272718,-0.05555555555555547,-0.11764705876246692,0.17
UMME,Energy and Petroleum,Umeme Ltd,0.027793471104471657,0.0674709884678766,0.0252872128927066,0.015898958408289754,-0.04230275389315479,-0.4377464788732394,0.0013749267003607857,0.03038199824933011,0.16167023095766134,2.0104473974298953,22.097175094236118,0.04196322722757624,51.862113835391185,3.722025026697117,0.2545970881330507,48586.229508196724,283993.11481639865,7.181570939916841e-08,0.9261133603238867,0.012084592145015005,0.021341463414634276,0.021289568619351048,16.75
UNGA,Manufacturing and Allied,Unga Group Ltd,0.027811707451668242,0.056974689972591634,0.023529363184820448,0.017398934078657766,-0.04377062658716336,-0.6841379310344827,-0.0005187369136186105,0.044014740467502984,0.18797548921133456,0.2754331808690016,84.84981659678485,-0.014057493140728338,42.43258364582346,4.122343220802987,0.5607400622831237,1888.6792452830189,4761.235907785848,0.0,0.48279352226720645,-0.0625,-0.07975460122699396,-0.060591827148516686,15.0
WTK,Agricultural,Williamson Tea Kenya Plc,0.02396828639955751,0.053361042876166775,0.021279527061773093,0.013876449082990086,-0.037518250518817624,-0.31486611265004616,0.0011477217378374341,0.028940244822731057,0.290076728124977,2.7193805214610225,25.21538221949404,0.03620293265087412,51.153249322782955,3.2727377068614056,3.8483130775927203,2734.338138925295,10706.103708407207,1.4359810910009858e-08,0.7722672064777328,0.06713780918727918,0.03899082568807333,0.03038459351364317,226.5
XPRS,Commercial and Services,Express Kenya Plc,0.03034456222065665,0.05978619325581063,0.024884402072564368,0.01900625974068229,-0.05097505688390128,-0.48333333333333334,0.0011989515657372116,0.04635283271184613,0.05934027792941282,0.25182954540533853,38.661135420621555,0.023708401387204082,46.31066394133785,4.727636145716251,0.10874326438185435,3592.340425531915,19477.173366718533,0.0,0.4757085020242915,0.04651162790697683,0.028571428571428692,0.05835660737738188,3.6
